N RS DS
4660000 0.119163 0.061928 1
4670000 0.009516 0.056193 1
4680000 0.027171 0.061076 1
4690000 0.140562 0.057259 1
4700000 0.124226 0.057014 1
4710000 0.019966 0.06439 1
4720000 0.267509 0.066543 1
4730000 0.006345 0.054186 1
4740000 0.009355 0.063459 1
4750000 0.154853 0.065353 1
4760000 0.078296 0.055211 1
4770000 0.216064 0.058002 1
4780000 0.094429 0.058209 1
4790000 0.610478 0.076373 1
4800000 0.09199 0.064677 1
4810000 0.119979 0.071249 1
4820000 0.198268 0.057304 1
4830000 0.448864 0.063783 1
4840000 0.046678 0.064005 1
4850000 0.052309 0.055372 1
4860000 0.050507 0.059208 1
4870000 0.476911 0.080815 1
4880000 0.580176 0.06359 1
4890000 0.341195 0.083809 1
4900000 0.018594 0.063254 1
4910000 0.0077 0.056398 1
4920000 0.035719 0.073977 1
4930000 0.166824 0.064892 1
4940000 0.424601 0.061919 1
4950000 0.380734 0.057069 1
4960000 0.011353 0.070755 1
4970000 0.850406 0.076223 1
4980000 0.165644 0.058389 1
4990000 0.043614 0.054661 1
5000000 0.182638 0.060944 1
